"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"201878","2","June","English","4"," 4","2","Male","1","2","1","2","1","1","1","2","1","1","1","1","1","1","2","3","1","9","2","1","1","2","1","2","2","2","2","6","2","2","1","2","9","2","2","1",5.25806451612903,20,"Employed"
"201878","2","June","English","4"," 4","2","Male","1","2","1","2","1","1","1","2","1","1","1","1","1","1","2","3","1","9","2","1","1","2","1","2","2","2","2","6","2","2","1","2","9","2","2","1",5.25806451612903,20,"Employed"
"201878","2","June","English","4"," 4","2","Male","1","2","1","2","1","1","1","2","1","1","1","1","1","1","2","3","1","9","2","1","1","2","1","2","2","2","2","6","2","2","1","2","9","2","2","1",5.25806451612903,20,"Employed"
"201881","2","June","English","3","37","2","Male","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","3","1","2","2","2","2","1","2","3","2","2","2","2","1",2.2258064516129,34,"Employed"
"201881","2","June","English","3","37","2","Male","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","2","3","1","2","2","2","2","1","2","3","2","2","2","2","1",2.2258064516129,34,"Employed"
"201883","2","June","English","2","39","2","Female","3","2","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","9","9","1","2","2","3","2","2","2","3","1","2","2","2","2","1","1","2","1",3.45161290322581,29,"Employed"
"201883","2","June","English","2","39","2","Female","3","2","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","9","9","1","2","2","3","2","2","2","3","1","2","2","2","2","1","1","2","1",3.45161290322581,29,"Employed"
"201883","2","June","English","2","39","2","Female","3","2","1","2","1","1","1","1","1","1","1","1","2","2","2","2","2","9","9","1","2","2","3","2","2","2","3","1","2","2","2","2","1","1","2","1",3.45161290322581,29,"Employed"
"201892","2","June","Spanish","3","48","2","Female","2","3","1","2","1","1","1","1","1","1","2","2","1","2","2","3","2","3","2","1","1","1","3","2","2","2","2","2","1","1","1","2","2","2","1","1",5.48387096774194,36,"Employed"
"201892","2","June","Spanish","3","48","2","Female","2","3","1","2","1","1","1","1","1","1","2","2","1","2","2","3","2","3","2","1","1","1","3","2","2","2","2","2","1","1","1","2","2","2","1","1",5.48387096774194,36,"Employed"
"201892","2","June","Spanish","3","48","2","Female","2","3","1","2","1","1","1","1","1","1","2","2","1","2","2","3","2","3","2","1","1","1","3","2","2","2","2","2","1","1","1","2","2","2","1","1",5.48387096774194,36,"Employed"
"201892","2","June","Spanish","3","48","2","Female","2","3","1","2","1","1","1","1","1","1","2","2","1","2","2","3","2","3","2","1","1","1","3","2","2","2","2","2","1","1","1","2","2","2","1","1",5.48387096774194,36,"Employed"
"201892","2","June","Spanish","3","48","2","Female","2","3","1","2","1","1","1","1","1","1","2","2","1","2","2","3","2","3","2","1","1","1","3","2","2","2","2","2","1","1","1","2","2","2","1","1",5.48387096774194,36,"Employed"
"201897","2","June","English","2","17","2","Male","2","3","1","5","1","1","1","2","2","1","2","9","2","9","9","9","9","9","9","1","2","2","3","2","2","2","3","2","1","1","1","2","9","9","2","1",6.19354838709677,41,"Employed"
"201897","2","June","English","2","17","2","Male","2","3","1","5","1","1","1","2","2","1","2","9","2","9","9","9","9","9","9","1","2","2","3","2","2","2","3","2","1","1","1","2","9","9","2","1",6.19354838709677,41,"Employed"
"201897","2","June","English","2","17","2","Male","2","3","1","5","1","1","1","2","2","1","2","9","2","9","9","9","9","9","9","1","2","2","3","2","2","2","3","2","1","1","1","2","9","9","2","1",6.19354838709677,41,"Employed"
"201897","2","June","English","2","17","2","Male","2","3","1","5","1","1","1","2","2","1","2","9","2","9","9","9","9","9","9","1","2","2","3","2","2","2","3","2","1","1","1","2","9","9","2","1",6.19354838709677,41,"Employed"
"201897","2","June","English","2","17","2","Male","2","3","1","5","1","1","1","2","2","1","2","9","2","9","9","9","9","9","9","1","2","2","3","2","2","2","3","2","1","1","1","2","9","9","2","1",6.19354838709677,41,"Employed"
"201897","2","June","English","2","17","2","Male","2","3","1","5","1","1","1","2","2","1","2","9","2","9","9","9","9","9","9","1","2","2","3","2","2","2","3","2","1","1","1","2","9","9","2","1",6.19354838709677,41,"Employed"
